dataset,reference_year,window,metric_type,exposure_family,exposure_variant,alignment,outcome,support_rows,support_weight,estimate_or_contrast,direction_flag,notes
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lead1,medicaid_exit_to_uninsured_next,34,214481233.91,0.0013,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lead1,medicaid_exit_to_uninsured_next,34,221527512.69,0.0005,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lead1,medicaid_exit_to_uninsured_next,34,217825701.33,0.0,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag2,medicaid_exit_next,34,208898979.65,0.0008,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag2,medicaid_exit_next,34,217290336.82,0.003,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag2,medicaid_exit_next,34,212048402.74,-0.0066,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag2,medicaid_exit_to_uninsured_next,34,208898979.65,0.0007,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag2,medicaid_exit_to_uninsured_next,34,217290336.82,0.0008,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_count,lag2,medicaid_exit_to_uninsured_next,34,212048402.74,-0.0039,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,same,medicaid_exit_next,34,127421118.66,0.0003,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,same,medicaid_exit_next,34,135357668.98,0.0009,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,same,medicaid_exit_next,34,133511984.19,0.0015,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,same,medicaid_exit_to_uninsured_next,34,127421118.66,-0.0009,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,same,medicaid_exit_to_uninsured_next,34,135357668.98,-0.0,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,same,medicaid_exit_to_uninsured_next,34,133511984.19,0.0002,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag1,medicaid_exit_next,34,129999784.96,0.0004,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag1,medicaid_exit_next,34,135874219.81,0.0012,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag1,medicaid_exit_next,34,133461508.26,0.0012,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag1,medicaid_exit_to_uninsured_next,34,129999784.96,-0.001,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag1,medicaid_exit_to_uninsured_next,34,135874219.81,0.0002,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag1,medicaid_exit_to_uninsured_next,34,133461508.26,-0.0002,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lead1,medicaid_exit_next,34,135503331.29,-0.0001,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lead1,medicaid_exit_next,34,142468062.01,0.001,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lead1,medicaid_exit_next,34,139125384.41,0.001,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lead1,medicaid_exit_to_uninsured_next,34,135503331.29,-0.0011,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lead1,medicaid_exit_to_uninsured_next,34,142468062.01,0.0002,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lead1,medicaid_exit_to_uninsured_next,34,139125384.41,0.0004,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag2,medicaid_exit_next,34,175613869.01,0.0004,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag2,medicaid_exit_next,34,185081188.72,0.0016,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag2,medicaid_exit_next,34,183081607.86,0.0003,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag2,medicaid_exit_to_uninsured_next,34,175613869.01,-0.001,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag2,medicaid_exit_to_uninsured_next,34,185081188.72,-0.0001,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,procedural_termination_burden,procedural_term_share,lag2,medicaid_exit_to_uninsured_next,34,183081607.86,0.0,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,same,medicaid_exit_next,34,213386599.93,-0.0001,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,same,medicaid_exit_next,34,219117328.29,0.0019,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,same,medicaid_exit_next,34,215399951.26,-0.0006,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,same,medicaid_exit_to_uninsured_next,34,213386599.93,0.0004,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,same,medicaid_exit_to_uninsured_next,34,219117328.29,0.0003,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,same,medicaid_exit_to_uninsured_next,34,215399951.26,0.0007,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag1,medicaid_exit_next,34,211346139.09,-0.0001,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag1,medicaid_exit_next,34,217334795.74,0.002,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag1,medicaid_exit_next,34,213888183.89,-0.0007,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag1,medicaid_exit_to_uninsured_next,34,211346139.09,0.0004,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag1,medicaid_exit_to_uninsured_next,34,217334795.74,0.0003,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag1,medicaid_exit_to_uninsured_next,34,213888183.89,0.0007,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lead1,medicaid_exit_next,34,212849801.85,0.0002,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lead1,medicaid_exit_next,34,216668614.92,0.002,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lead1,medicaid_exit_next,34,213669183.31,-0.0005,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lead1,medicaid_exit_to_uninsured_next,34,212849801.85,0.0004,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lead1,medicaid_exit_to_uninsured_next,34,216668614.92,0.0003,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lead1,medicaid_exit_to_uninsured_next,34,213669183.31,0.0007,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag2,medicaid_exit_next,34,210714754.97,-0.0004,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag2,medicaid_exit_next,34,214721143.04,0.0021,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag2,medicaid_exit_next,34,210530261.77,-0.0032,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag2,medicaid_exit_to_uninsured_next,34,210714754.97,0.0003,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag2,medicaid_exit_to_uninsured_next,34,214721143.04,0.0002,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,renewal_workload_burden,renewal_due_count,lag2,medicaid_exit_to_uninsured_next,34,210530261.77,0.0001,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,same,medicaid_exit_next,34,228896335.08,-0.0015,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,same,medicaid_exit_next,34,237884573.41,-0.0007,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,same,medicaid_exit_next,34,233533488.48,0.0016,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,same,medicaid_exit_to_uninsured_next,34,228896335.08,-0.0005,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,same,medicaid_exit_to_uninsured_next,34,237884573.41,-0.0008,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,same,medicaid_exit_to_uninsured_next,34,233533488.48,0.0005,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag1,medicaid_exit_next,34,232444091.71,-0.0015,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag1,medicaid_exit_next,34,242266895.71,-0.0008,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag1,medicaid_exit_next,34,237879941.85,0.0015,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag1,medicaid_exit_to_uninsured_next,34,232444091.71,-0.0005,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag1,medicaid_exit_to_uninsured_next,34,242266895.71,-0.0008,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag1,medicaid_exit_to_uninsured_next,34,237879941.85,0.0005,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lead1,medicaid_exit_next,34,226806739.33,-0.0013,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lead1,medicaid_exit_next,34,236581101.97,-0.0008,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lead1,medicaid_exit_next,34,231818675.39,0.0013,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lead1,medicaid_exit_to_uninsured_next,34,226806739.33,-0.0005,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lead1,medicaid_exit_to_uninsured_next,34,236581101.97,-0.0008,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lead1,medicaid_exit_to_uninsured_next,34,231818675.39,0.0004,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag2,medicaid_exit_next,34,232169675.64,-0.0018,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag2,medicaid_exit_next,34,241963760.49,-0.0008,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag2,medicaid_exit_next,34,237183126.02,0.0011,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag2,medicaid_exit_to_uninsured_next,34,232169675.64,-0.0007,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag2,medicaid_exit_to_uninsured_next,34,241963760.49,-0.0009,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_count,lag2,medicaid_exit_to_uninsured_next,34,237183126.02,0.0002,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,same,medicaid_exit_next,34,182404831.13,-0.0018,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,same,medicaid_exit_next,34,185922386.84,-0.0008,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,same,medicaid_exit_next,34,185148615.76,0.0011,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,same,medicaid_exit_to_uninsured_next,34,182404831.13,-0.0005,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,same,medicaid_exit_to_uninsured_next,34,185922386.84,-0.0006,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,same,medicaid_exit_to_uninsured_next,34,185148615.76,0.001,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag1,medicaid_exit_next,34,182880023.26,-0.0018,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag1,medicaid_exit_next,34,185950741.47,-0.0008,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag1,medicaid_exit_next,34,185895662.02,0.0011,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag1,medicaid_exit_to_uninsured_next,34,182880023.26,-0.0005,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag1,medicaid_exit_to_uninsured_next,34,185950741.47,-0.0006,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag1,medicaid_exit_to_uninsured_next,34,185895662.02,0.001,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lead1,medicaid_exit_next,34,180901168.37,-0.0011,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lead1,medicaid_exit_next,34,186588567.66,-0.0008,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lead1,medicaid_exit_next,34,185367616.34,0.0015,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lead1,medicaid_exit_to_uninsured_next,34,180901168.37,-0.0003,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lead1,medicaid_exit_to_uninsured_next,34,186588567.66,-0.0006,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lead1,medicaid_exit_to_uninsured_next,34,185367616.34,0.0011,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag2,medicaid_exit_next,34,188449157.26,-0.0023,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag2,medicaid_exit_next,34,190431468.26,-0.0009,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag2,medicaid_exit_next,34,190221709.9,0.0016,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag2,medicaid_exit_to_uninsured_next,34,188449157.26,-0.0013,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag2,medicaid_exit_to_uninsured_next,34,190431468.26,-0.001,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,pending_backlog_burden,pending_rate,lag2,medicaid_exit_to_uninsured_next,34,190221709.9,0.0009,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,ex_parte_renewal_relief,ex_parte_renewal_rate,same,medicaid_exit_next,34,154450399.49,0.0001,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,ex_parte_renewal_relief,ex_parte_renewal_rate,same,medicaid_exit_next,34,157822671.57,0.0012,unexpected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,ex_parte_renewal_relief,ex_parte_renewal_rate,same,medicaid_exit_next,34,150774584.26,-0.0018,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2021,matched_aug_nov_state_precheck,high_minus_low,ex_parte_renewal_relief,ex_parte_renewal_rate,same,medicaid_exit_to_uninsured_next,34,154450399.49,-0.0013,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2022,matched_aug_nov_state_precheck,high_minus_low,ex_parte_renewal_relief,ex_parte_renewal_rate,same,medicaid_exit_to_uninsured_next,34,157822671.57,-0.0006,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
SIPP,2023,matched_aug_nov_state_precheck,high_minus_low,ex_parte_renewal_relief,ex_parte_renewal_rate,same,medicaid_exit_to_uninsured_next,34,150774584.26,-0.0014,expected,Later 2023 state exposure tertiles applied to matched-month state-level rates.
